worker3  | 2025/06/27 03:17:55 INFO Worker arrancado en :8080
worker3  | 2025/06/27 03:17:55 INFO Server started address=[::]:8080
worker3  | 2025/06/27 03:18:05 INFO Request address=172.18.0.5:34352 method=GET path=/ping
worker3  | 2025/06/27 03:18:05 INFO Response address=172.18.0.5:34352 status_code=200 status_text=OK
worker3  | 2025/06/27 03:18:10 INFO Request address=172.18.0.5:41034 method=GET path=/ping
worker3  | 2025/06/27 03:18:10 INFO Response address=172.18.0.5:41034 status_code=200 status_text=OK
worker3  | 2025/06/27 03:18:15 INFO Request address=172.18.0.5:41044 method=GET path=/ping
worker3  | 2025/06/27 03:18:15 INFO Response address=172.18.0.5:41044 status_code=200 status_text=OK
worker3  | 2025/06/27 03:18:22 INFO Request address=172.18.0.5:56412 method=GET path=/ping
worker3  | 2025/06/27 03:18:22 INFO Response address=172.18.0.5:56412 status_code=200 status_text=OK
worker3  | 2025/06/27 03:18:30 INFO Request address=172.18.0.5:58612 method=GET path=/ping
worker3  | 2025/06/27 03:18:30 INFO Response address=172.18.0.5:58612 status_code=200 status_text=OK
worker3  | 2025/06/27 03:18:34 INFO Request address=172.18.0.5:58618 method=GET path=/pi/part
worker3  | 2025/06/27 03:18:34 INFO Response address=172.18.0.5:58618 status_code=200 status_text=OK
worker3  | 2025/06/27 03:18:34 INFO Request address=172.18.0.5:58634 method=GET path=/pi/part
worker3  | 2025/06/27 03:18:34 INFO Response address=172.18.0.5:58634 status_code=200 status_text=OK
worker3  | 2025/06/27 03:18:34 INFO Request address=172.18.0.5:58640 method=GET path=/pi/part
worker3  | 2025/06/27 03:18:34 INFO Response address=172.18.0.5:58640 status_code=200 status_text=OK
worker3  | 2025/06/27 03:18:37 INFO Request address=172.18.0.5:55948 method=GET path=/ping
worker3  | 2025/06/27 03:18:37 INFO Response address=172.18.0.5:55948 status_code=200 status_text=OK
worker3  | 2025/06/27 03:18:44 INFO Request address=172.18.0.5:55954 method=GET path=/ping
worker3  | 2025/06/27 03:18:44 INFO Response address=172.18.0.5:55954 status_code=200 status_text=OK
worker3  | 2025/06/27 03:18:51 INFO Request address=172.18.0.5:33782 method=GET path=/ping
worker3  | 2025/06/27 03:18:51 INFO Response address=172.18.0.5:33782 status_code=200 status_text=OK
worker3  | 2025/06/27 03:18:56 INFO Request address=172.18.0.5:33788 method=GET path=/ping
worker3  | 2025/06/27 03:18:56 INFO Response address=172.18.0.5:33788 status_code=200 status_text=OK
worker3  | 2025/06/27 03:19:01 INFO Request address=172.18.0.5:42090 method=GET path=/ping
worker3  | 2025/06/27 03:19:01 INFO Response address=172.18.0.5:42090 status_code=200 status_text=OK
worker3  | 2025/06/27 03:19:06 INFO Request address=172.18.0.5:42104 method=GET path=/ping
worker3  | 2025/06/27 03:19:06 INFO Response address=172.18.0.5:42104 status_code=200 status_text=OK
worker3  | 2025/06/27 03:19:11 INFO Request address=172.18.0.5:40536 method=GET path=/ping
worker3  | 2025/06/27 03:19:11 INFO Response address=172.18.0.5:40536 status_code=200 status_text=OK
worker3  | 2025/06/27 03:19:16 INFO Request address=172.18.0.5:40540 method=GET path=/ping
worker3  | 2025/06/27 03:19:16 INFO Response address=172.18.0.5:40540 status_code=200 status_text=OK
worker3  | 2025/06/27 03:19:17 INFO Request address=172.18.0.5:57740 method=POST path=/matrix/part
worker3  | 2025/06/27 03:19:17 INFO Response address=172.18.0.5:57740 status_code=200 status_text=OK
worker3  | 2025/06/27 03:19:21 INFO Request address=172.18.0.5:57752 method=GET path=/ping
worker3  | 2025/06/27 03:19:21 INFO Response address=172.18.0.5:57752 status_code=200 status_text=OK
worker3  | 2025/06/27 03:19:26 INFO Request address=172.18.0.5:57754 method=GET path=/ping
worker3  | 2025/06/27 03:19:26 INFO Response address=172.18.0.5:57754 status_code=200 status_text=OK
worker3  | 2025/06/27 03:19:33 INFO Request address=172.18.0.5:35194 method=POST path=/matrix/part
worker3  | 2025/06/27 03:19:33 INFO Response address=172.18.0.5:35194 status_code=200 status_text=OK
worker3  | 2025/06/27 03:19:33 INFO Request address=172.18.0.5:35200 method=GET path=/ping
worker3  | 2025/06/27 03:19:33 INFO Response address=172.18.0.5:35200 status_code=200 status_text=OK
worker3  | 2025/06/27 03:19:40 INFO Request address=172.18.0.5:35818 method=GET path=/ping
worker3  | 2025/06/27 03:19:40 INFO Response address=172.18.0.5:35818 status_code=200 status_text=OK
worker3  | 2025/06/27 03:19:47 INFO Request address=172.18.0.5:34812 method=GET path=/ping
worker3  | 2025/06/27 03:19:47 INFO Response address=172.18.0.5:34812 status_code=200 status_text=OK
worker3  | 2025/06/27 03:19:54 INFO Request address=172.18.0.5:34824 method=GET path=/ping
worker3  | 2025/06/27 03:19:54 INFO Response address=172.18.0.5:34824 status_code=200 status_text=OK
worker3  | 2025/06/27 03:20:01 INFO Request address=172.18.0.5:37474 method=GET path=/ping
worker3  | 2025/06/27 03:20:01 INFO Response address=172.18.0.5:37474 status_code=200 status_text=OK
worker3  | 2025/06/27 03:20:08 INFO Request address=172.18.0.5:46602 method=GET path=/ping
worker3  | 2025/06/27 03:20:08 INFO Response address=172.18.0.5:46602 status_code=200 status_text=OK
worker3  | 2025/06/27 03:20:15 INFO Request address=172.18.0.5:46612 method=GET path=/ping
worker3  | 2025/06/27 03:20:15 INFO Response address=172.18.0.5:46612 status_code=200 status_text=OK
worker3  | 2025/06/27 03:20:22 INFO Request address=172.18.0.5:36906 method=GET path=/ping
worker3  | 2025/06/27 03:20:22 INFO Response address=172.18.0.5:36906 status_code=200 status_text=OK
worker3  | 2025/06/27 03:20:29 INFO Request address=172.18.0.5:35328 method=GET path=/ping
worker3  | 2025/06/27 03:20:29 INFO Response address=172.18.0.5:35328 status_code=200 status_text=OK
worker3  | 2025/06/27 03:20:36 INFO Request address=172.18.0.5:35332 method=GET path=/ping
worker3  | 2025/06/27 03:20:36 INFO Response address=172.18.0.5:35332 status_code=200 status_text=OK
worker3  | 2025/06/27 03:20:43 INFO Request address=172.18.0.5:52776 method=GET path=/ping
worker3  | 2025/06/27 03:20:43 INFO Response address=172.18.0.5:52776 status_code=200 status_text=OK
